Название,Столица,Коды ISO,Телефонный код,Валюта
Абхазия,Сухум,,"+7 840, +7 940",Российский рубль
Австралия,Канберра,AU,+61,Австралийский доллар
Австрия,Вена,AT,+43,Евро
Азербайджан,Баку,AZ,+994,Азербайджанский манат
Аландские острова,,AX,,Евро
Албания,Тирана,AL,+355,Албанский лек
Алжир,Алжир,DZ,+213,Алжирский динар
Американское Самоа,Паго-Паго,AS,+685,Доллар США
Ангилья,Валли,AI,+1264,Восточно - карибский доллар
Ангола,Луанда,AO,+244,Ангольская кванза
Андорра,Андорра-ла-Велья,AD,+376,Евро
Антарктида,,AQ,,
Антигуа и Барбуда,Сент-Джонс,AG,+1268,Восточно - карибский доллар
Аргентина,Буэнос-Айрес,AR,+54,Аргентинское песо
Армения,Ереван,AM,+374,Армянский драм
Аруба,Ораньестад,AW,+297,Арубанский флорин
Афганистан,Кабул,AF,+93,Афганский афгани
Багамы,Нассау,BS,+1242,Багамский доллар
Бангладеш,Дакка,BD,+880,Бангладешская така
Барбадос,Бриджтаун,BB,+1246,Барбадосский доллар
Бахрейн,Манама,BH,+973,Бахрейнский динар
Беларусь,Минск,BY,+375,Белорусский рубль
Белиз,Бельмопан,BZ,+501,Белизский доллар
Бельгия,Брюссель,BE,+32,Евро
Бенин,Порто-Ново,BJ,+229,Франк КФА ВСЕАО
Бермудские острова,Гамильтон,BM,+1441,Бермудский доллар
Болгария,София,BG,+359,Болгарский лев
Боливия,Ла-Пас,BO,+591,Боливийский боливиано
Босния и Герцеговина,Сараево,BA,+387,Конвертируемая марка
Ботсвана,Габороне,BW,+267,Ботсванская пула
Бразилия,Бразилиа,BR,+55,Бразильский реал
Британская территория в Индийском океане,Диего-Гарсия,IO,,Доллар США
Британские Виргинские острова,Род-Таун,VG,+1284,Доллар США
Бруней,Бандар-Сери-Багаван,BN,+673,Брунейский доллар
Буркина-Фасо,Уагадугу,BF,+226,Франк КФА ВСЕАО
Бурунди,Бужумбура,BI,+257,Бурундийский франк
Бутан,Тхимпху,BT,+975,Бутанский нгултрум
Вануату,Порт-Вила,VU,+678,Вануатский вату
Ватикан,Ватикан,VA,+39,Евро
Великобритания,Лондон,GB,+44,Британский фунт
